location,date,starting_time,title,link
"ABF-huset, Sveavägen 41",2019-09-07,10:00:00,Forum för ledarskap,https://abfstockholm.se/evenemang/forum-for-ledarskap/
"ABF-huset, Sveavägen 41",2019-09-07,10:00:00,Forum för ledarskap: Motivera ideella,https://abfstockholm.se/evenemang/forum-for-ledarskap-motivera-ideella/
"ABF-huset, Sveavägen 41",2019-09-07,10:00:00,Forum för ledarskap: Rösten som arbetsverktyg,https://abfstockholm.se/evenemang/forum-for-ledarskap-rosten-som-arbetsverktyg/
"ABF-huset, Sveavägen 41",2019-09-07,11:45:00,Forum för ledarskap: Hjärnsmart ledarskap,https://abfstockholm.se/evenemang/forum-for-ledarskap-hjarnsmart-ledarskap/
"ABF-huset, Sveavägen 41",2019-09-07,11:45:00,Forum för ledarskap: Leda normkritiskt,https://abfstockholm.se/evenemang/forum-for-ledarskap-leda-normkritiskt/
"ABF-huset, Sveavägen 41",2019-09-07,13:30:00,Forum för ledarskap: 10 tips för tillgänglighet,https://abfstockholm.se/evenemang/forum-for-ledarskap-10-tips-for-tillganglighet/
"ABF-huset, Sveavägen 41",2019-09-07,13:30:00,Forum för ledarskap: Projektansökan – var finns pengarna?,https://abfstockholm.se/evenemang/forum-for-ledarskap-projektansokan-var-finns-pengarna/
"ABF-huset, Sveavägen 41",2019-09-07,14:30:00,Forum för ledarskap: Inkluderande ledarskap,https://abfstockholm.se/evenemang/forum-for-ledarskap-inkluderande-ledarskap/
"Bio Rio, salong 1",2019-09-09,15:00:00,Live på bio: André Rieu – Shall we dance?,https://abfstockholm.se/evenemang/live-pa-bio-andre-rieu-shall-we-dance/
Stockholms Stadsbibliotek,2019-09-09,16:30:00,Filosofiklubben Tema: Slutet,https://abfstockholm.se/evenemang/filosofiklubben-tema-slutet/
Fruängens Bibliotek,2019-09-09,17:00:00,Filosofikafé Tema: Avundsjuka,https://abfstockholm.se/evenemang/tema-avundsjuka/
"ABF-huset, Sveavägen 41",2019-09-10,18:00:00,Sudan – en revolution ledd av kvinnor,https://abfstockholm.se/evenemang/sudan-en-revolution-ledd-av-kvinnor/
"Bio Rio, salong 1",2019-09-10,20:30:00,Live på bio: Margaret Atwood – Live in cinemas,https://abfstockholm.se/evenemang/live-pa-bio-margaret-atwood-live-in-cinemas/
"Restaurang Cirkeln, ABF-huset, Sveavägen 41",2019-09-11,18:00:00,Afterwork-Jazz med Christer Fellers,https://abfstockholm.se/evenemang/afterwork-jazz-med-christer-fellers/
"ABF-huset, Sveavägen 41",2019-09-11,18:00:00,Sydafrika efter valet,https://abfstockholm.se/evenemang/sydafrika-efter-valet/
"ABF-huset, Sveavägen 41",2019-09-12,18:00:00,Syrien – vad händer efter att IS har besegrats?,https://abfstockholm.se/evenemang/syrien/
Lokal C512,2019-09-13,14:00:00,Trenes y computadoras. Percepción y creatividad a principios del siglo XXI,https://www.su.se/romklass/om-oss/evenemang/registrera-evenemang/trenes-y-computadoras-percepci%C3%B3n-y-creatividad-a-principios-del-siglo-xxi-1.440597
"Nils Ferlins torg, Klarabergsgatan 37",2019-09-14,13:00:00,Vandring i de samiska kvinnornas spår: norra turen,https://abfstockholm.se/evenemang/vandring-i-de-samiska-kvinnornas-spar/
"Bio Rio, salong 1",2019-09-16,14:00:00,Live på bio: Glada änkan,https://abfstockholm.se/evenemang/live-pa-bio-glada-ankan/
"Aspuddens Bibliotek, Galleri Hades",2019-09-16,17:30:00,Filosofikafé Tema: Samvetets värld,https://abfstockholm.se/evenemang/tema-samvetets-varld/
"ABF-huset, Sveavägen 41",2019-09-17,13:30:00,"Träning, näring, funktion och välbefinnande",https://abfstockholm.se/evenemang/traning-naring-funktion-och-valbefinnande/
